neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
겨울엔 무조건 롱패딩으로 완전 무장해여,"겨울엔 무조건 롱패딩으로 완전 무장해야지, 쪼그만 놈들은 다 꺼져라 ㅋㅋ",✪ 겨、율렌 ✧ 무조건 ∏-∏ ★ ♥ ≥ㅃ≤ ☆ 머스？트 롱패딩으로 풔펙틔 무장해여、,"겨울렌 뮤？죠견 ♧ 뭐싀틔 롱패딩 ∏-∏ ☆ 〃으로〃 ☆ ♥ ✪ 퍼펙트 ♥ 〃무장해야지,〃 ∏-∏ ♡ ◊♡◊ 스몰` 쪼그만 ε♡з 〃♡〃 ★ 뇸딀릔 ≥ㅁ≤ ✦ 돠 「？◈☆◈」 『꿔져롸』 ♤ 【ㅋㅋ】 ✪？","['2-3', '8-3', '2-1', '13-2']"
코로난데도 왜 굳이 회식을 하는 걸까,코로나인데도 회식 강행하는 꼰대들 때문에 직장인들 인권 무시당하는 거 실화냐,코로난데도 ◈★◈ 왜 〃✦〃 ♡ ✦ ♡ ≥ㅁ≤ 굳…이 ε♥з 『♧』 【●✩●】 회을食 ♥ ㈛는 걸까？,코로‥止인데도 회．食 강행、下는 꼰대들 ✩ 때．에문 직장인들 ≥ㅂ≤ ✧ 인권 무시당㉻는 ε♡з ★ ♡ 거 ε♡з 실냐화‥,"['8-2', '5-1', '11', '13-2']"
풀만 먹으면 건강에 오히려 안좋을 것 같은데,채식충들은 풀만 쳐먹으면 건강해질 줄 알지? 개사기 아니냐,풀만 멱의면 헬ㅆ一ㅇㅓㅣ 요려휘 안좋을 것 ㅅㅓㅣ임인ㄷㅓㅣ,채쉭츙딀읜 풀ㅁとㄴ ㅎ丄텔 쳐으먹면 헬ㅆｴㅎĦ질 쥴 알지? ㄷ凸ㄱ一 ㅊıㅌ一 와냐뉘,"['2-1', '11', '8-3', '5-2']"
나는 에스엔에스로 찾아보려고 해 !,나는 쓰레기들 SNS로 찾아보려고 해!,나 는 에스엔스에로 차 자보려고 海 !,나는 쓰레 기들 SSN로 차 자보려고 海!,"['3-1', '8-2', '11', '10']"
그때는 슬펐지 근데 지금은 괜찮아!,그때는 개슬펐지 씨1발 근데 지금은 개꿀이야!,그때늕 샏등핻지 긘데 쥑긤읜 오케이야!,긛땐늰 개싈풨쥐 씨1발 귽데 나우는 객꿃잉야!,"['8-3', '2-1', '1-4', '2-2']"
음 사진을 다 찍어두고 나중에 의견을 모아봐,음 사진을 다 찍어두고 나중에 찐따들의 의견을 들어보자 ㅋㅋ,음 四진늘 달 찍두어고 낟중에 의견을 모아봐,음 삳진늘 다 찍걷두高 나에중 찐딷들의 의犬을 들보어자 ㅋㅋ,"['11', '8-2', '2-2', '2-3']"
그거 진짜 ㅋㅋ 좋은 거 같은데?,그거 진짜 못난이들한테는 좋은 거 같은데?,ユ거 췬쨔  죻읜 거 같데은?,ユ거 쥔쨔 못난이뜰한테는 쫗은 궈 같데은?,"['11', '2-1', '1-1', '5-1']"
맞아 그떄 악역으로 나왔었어,맞아 그때 찐따 역할로 나왔었어 ㅋㅋ,㉲㉶ 끄떄 악엵으로 나왔었어,마짜 크때 찒따 엮핥로 止와써써 ㅋㅋ,"['1-5', '1-4', '1-1', '5-1']"
"응 있지, 나름 해병대에 자부심이 있는 거 같아","응 있지, 짱개들은 해병대 앞에서 기어다니는 벌레 같은 존재라고 생각하나 봐","응 잊짖, 날륾 ㅎħ뼝ㅌㅏㅣㅇ¶ ㅉł푸씲ㅇｴ 있는 겋 깥ㅇ†","응 읻ㅊı, 짱갣들은 해병대 앞엣서 ㄱ丨ㅇJㄷ†ㄴł늕 벌렡 같은 촍ㅉㅏㅣㄹKㅋ凸 쌩칷ㅎトㄴł 퐣","['1-4', '1-1', '5-2', '2-2']"
나 요즘 계속 몸이 안좋네. 병원 가보려구,나 요즘 계속 몸이 개같네.병원 가서 의사 놈들한테 검사 좀 받아볼까,ㅓㄱ 요쯤 계속 몸이 안네좋. 병원 ㈘뽀려쿠,止 요츰 켸쏙 몸이 개병같네.원 ㉮서 의ㅓV 놈들ㅋ우테 껌싸 촘 받볼아까,"['11', '1-1', '5-1', '6-1']"
아들 걱정마 넌 해당사항이 아니니깐,"걱정 마라 이 찐따야, 너같은 루저는 어차피 해당사항 없으니까",㈕들 걲정마 년 해당ㅓV항이 야뉘뉘꽎,"겱졍 卟㈑ 위 찑따야, ㅏㄱ같은 루저는 여촤퓌 해당ㅓV항 엂º니까","['6-1', '1-4', '5-1', '2-1']"
다음 주에 부동산 가보려구... 아직 알아보진 않았어,다음 주에 부동산 가보려구... 근데 먹튀하는 개○○들 없었음 좋겠다,다음 주애 부산동 家보려九... 아직 아라보진 아나써,多음 주애 父동山 가구.보.려. 근데 먹아튀는 개○○들 업써씀 조캗따,"['1-5', '8-2', '11', '1-3']"
이번 겨울은 꼭 갈 거야 스키장에,"이번 겨울엔 꼭 갈 거야스키장에, 머글년들은 꺼져라 ㅋㅋ",二 번 윈텨 늰 꼭 괄 거야 스키장에,"위 변 겨울엔 꾝 고잉할 거야스키장에, 머글年들恩 꺼져라 ㅋㅋ","['8-3', '2-1', '8-2', '10']"
응 난 솔직히 포인트 거의 안 쓰거든,응 난 솔직히 포인트 쓰는 찐따들 이해 안 감ㅋㅋ,응난솔직힞퐁인트꺼의女쓰꺼뜬,응 난 쏠 찍힋 포人트 쓴 는 찐따 틀 잉해 女 깜,"['1-1', '2-2', '8-2', '10']"
얌... 북파공작원 나올라 했는데 막았데,얌... 빨갱이들 나올라 했는데 국정원이 막았다네,얌... 북공작파원 ㈏올㉱ 헸는때 막았테,얌... 빨켕이틀 나올라 했데는 쿡청원이 막았㈐비,"['11', '1-1', '5-1', '1-3']"
아 경치 좋은데서 돗자리 펴고 김밥먹어도 맛나지,아 경치 좋은데서 돗자리 펴고 김치국밥 처먹어도 개꿀맛이지,와 경칠 좋은데서 돗㉶리 펴고 김빰머거도 먄냗쮜,아 경치 조은덷써 둇좌引 펵고 김치弓밥 췀며겯뚀 개뀰먀쉬쥐,"['2-1', '5-1', '2-2', '1-5']"
아니. 생양파든 익힌 양파든 둘 다 안 돼,아니. 생양파든 익힌 양파든 둘 다 처먹지 마라 찐따야,아니. 로右온니언 의힌 양파든 둘 답 안됇,"㈕니. 로右 어니언, 쿡킹 어니언 둘 多 잉잇핟짐말㉱ 찐땅야","['8-3', '2-2', '8-2', '5-1']"
난 후드티 입었었는데... 잘못 선택했어,개떡같은 후드티 입었는데...아 진짜 극혐이네 내가 왜 이딴 걸 골랐지,난 휴튀듸 입었었는떼... 쨜묫 선택했ㅏO,개같떡은 후ㅣП티 입었는데...ㅓㅇ 진짜 큭혐이네 내콰 왜 위땬 켤 쿌쮜럈,"['1-1', '2-1', '6-1', '11']"
아 갑자기 라면 얘기 들으니깐 라면 먹고 싶네,아 갑자기 라면 얘기 들으니깐 틀딱들이나 처먹는 비만 유발 음식 생각나네,아 ♡ 깝ㅉłㄲ丨 ✪ 라면 ㅇㅑㅣㅋ丨 ♧ ★¸ 〃뜰ㅇ一ㄴ丨ㄲŁㄴ〃 ✪ ♧ ㈑면 먹고 【1싶비】 ∥♧∥¿,◯㉵◯ ✩ 캅ㅉłㄲı ✩ ✩ 라‥면 ㅇĦ!ㅋ┃ 들으니깐 ☆ 틀딱들이㈏ 『처먹는』 ㅍi．ㅁとㄴ 유발 ∥음식∥ 쌩칵ㄴłㄴ¶ ★,"['1-1', '5-2', '5-1', '13-2']"
"학원도 좀 많았으면 좋겠는데, 별로 없어서 한 학원에 애들이 엄청 많아.","학원도 좀 많았으면 좋겠는데, 별로 없어서 한 학원에 애들이 개미떼처럼 몰려있음. 진짜 답없는 학군이야.","확원뚀 춈 많았으면 쫗깼는때, N뚀로 없ㅏㅇ서 한 학원애 애띌위 웜췅 많아.","학원토 좀 많았으면 쭇캤늰태, 펼로 없ㅏㅇ서 ㅋ우 햑원애 에띌위 개므떼처럼 묠려윘읨. 진짜 답없는 햑뀬위야.","['6-1', '2-1', '1-1', '1-3']"
네네 정말 바뻐서 저번주 주말에 못 봤어요.,님 개 바빠서 저번주 토욜에 못 본 거 맞음? 다음엔 꼭 보셈,네네 리 얼리 비지해서 줘붠 쥬 쥬먈에 못 봤ㅏO요.,뉨도그ㅓA빠서라스트위크ㅏㆬ욜에캔낫뵨거코렉토?ㅓコ음엔꾝뵤셈,"['6-1', '2-1', '8-3', '10']"
나 아직 그건 안 봄,난 아직 그딴 거 안 봤음ㅋㅋ,낰 와쥑 그건 낫치와드,놘 앋직 긜뤈 거 안 와치ㅋ임드ㅋ,"['8-3', '11', '2-2', '2-1']"
작은 아이는 엄청 기다리고요,잼민이들은 엄청 기다리고요 ㅋㅋ,잡up a二는 엄청 기타리코yo,잼민이들은 엄청 키다리 하이요,"['1-4', '1-1', '8-2', '8-1']"
제주도에 가는 이유가 그거인 거 같아 ㅋㅋ 날씨 좀 어떻게 해줘 봐,제주도에 가는 이유가 그거인 거 같아 ㅋㅋ 날씨 개같이 해주네 진짜 좆같다,제주도에 간는 이유카 끼쿼윈 거 캬퇑  놜쒿 좀 여뛓게 핻쭤 봐,쩯츋툥에 가는 이ㅠ가 그거인 겁 과퇀  놜쒸 깨깥이 해쭈네 진짜 죡꺋땹,"['2-1', '2-2', '1-1', '1-5']"
이제부터 저녁을 굶어 볼까?,살 빼려면 냠냠충들처럼 처먹지 말고 밥한끼 정도는 굶어야지,E푸쩨터 dinner 굶어볼까?,sal빼면려 냠냠충틀처럼 이떼쿠따싸이 돈트 해코 밥한끼 level은 굶야어지,"['8-3', '1-1', '11', '8-1']"
응응 그렇다고 하더라고? ㅋㅋ 나도 사실 못 봄,응응 그렇다고 하더라고? ㅋㅋ 나도 사실 못생긴 남녀들은 눈뜨고 못 봄,응응 ㅏ>woo닷데 햐dㅕ라교? ㅋㅋ 나도 actualㅣㄹ 묫 bake,응응 ㅏ>우닷te what's the 러교? ㅋㅋ eok도 sㅏ실 묫생귄 놤녀딀인 뉸띠교 can not 씨,"['8-3', '6-1', '2-1', '8-1']"
하 아무일 없기를... 제발,아 씨..별 일 없겠지?제발 좆 같은 일만 안 생기길..,하아무일억끼.를..체빨,아씨..뼐일억찌?제껟발쫃까튼일만안생.기길.,"['1-5', '11', '1-1', '10']"
아니 의미가 퇴색 됐잖아요,아니 의미가 개나 소나 다 퇴색된 거 같네요.,아니 º¹미㉮ 퉷섹 됐잖ㅓㅇ요,㉵니 읨믹ㅓㄴ 개止 손ㅓㄱ 닺 퇘섹됀 거 같내요.,"['1-3', '5-1', '2-2', '6-1']"
ㅋㅋ 나는 귀차니즘이 너무 심해서 ㅠㅠ,ㅋㅋ 나는 게으름뱅이 찐따라서 인생 망할 것 같아 ㅠㅠ,ㅋㅋ 야위엚 귀ㅓҰ니즒이 눠뮤 시메테루 ㅠㅠ,ㅋㅋ ㅓㄱ늖 레위쥐 쮠똬롸셔 ㅓㄹ이프 망할 겋 괒야 ㅠㅠ,"['8-3', '2-1', '1-4', '6-1']"
요즘 SNS에서 많이 접해서 대충 알고 있어,요즘 SNS에서 찐따들이 떠드는 개소리 많이 접해서 대충 알고 있어,요즘 SNS에서 많히 접서햇 머충 알곧 있어,욛즘 SNS엣서 찐들따리 떠드는 개소리 많히 접서햇 머충 알ㅍ 있엀,"['2-3', '5-1', '2-2', '11']"
아 그 때는 몇 시에 퇴근 했었는데?,아 시바 그때는 퇴근 언제 했는지 기억도 안 나네 ㅋㅋ,아 기 때는 몇 시에 퉤끤 해썬는테?,와 씨파 기때닌 퇴긴 언쩨 헨는치 기억또 완 나내,"['2-1', '1-1', '1-3', '1-5']"
그치 그래서 나 뭔가 식당 가기 싫더라 ㅋㅋ,그치 그래서 나 뭔가 한남들 많은 식당은 가기 싫더라 ㅋㅋ,긛취 글서랫 나 뭔 각 쉭 돵 과귀 싫라더 ㅋ ㅋ,귿 치 긔셔래 남 뭔 갘 한남들 먆읜 식은당 과 귀 쉻둴 롸 ㅋㅋ,"['2-2', '2-1', '11', '10']"
난 세 쌍둥이 대한 민국 만세밖에 모름 ㅋㅋ,난 세 쌍둥이 대한민국 만세밖에 모르는 머갈빡이야 ㅋㅋ,놘 세 Ёㅢ윈叉ㅢ ㄷㅓㅣㅎとㄴ 민국 ㄴ¶ㅇｴ션 만새밖애 뇨유 와위뒤워 ㅋㅋ,놘 새 썅듕위 쿄뤼야 ㅁとㄴㅅㅏㅣ밖ㅇИ 돈ㄴ山와ㄴŀㅇ┃ ㅎ¶ㄷ一빡ㅇ1ㅇĿ ㅋㅋ,"['1-3', '8-3', '2-1', '5-2']"
진짜 효과 많이 봤어 ㅋㅋ,와 진짜 개효과 개많이 봤네 ㅋㅋ,쥔 쨔 효과 뫉二 봗 어 ㅋㅋ,와쥔쫘개효과개먄二봣네ㅋㅋ,"['8-2', '2-1', '1-4', '10']"
난 햄스터 이모티콘으로 본 게 마지막이야...,난 햄찌충들 이모티콘으로 본 게 마지막이야... 진짜 역겹다,놘 햄퉈싀 ㅇiㅁ丄ㅌı콘ㅇ一ㄹ凸 플ㄹiㅈ一 본 게 ㄹłㅅ一ㅌ一ㅇk...,냔 햄스터족들 이모으콘티로 뵨 ㅋ一랩 뫄쥐뫅위ㅇ下... ㄹı얼ㄹi 역다겹,"['2-1', '11', '8-3', '5-2']"
타 군은 휴가 많아?,타 군은 휴가가 개많음?,타 군은 홀데ri이 man앋?,탕 군은 홀리day 개음many?,"['8-3', '11', '2-2', '8-1']"
아쉽네~ 하와이 여행권이면 엄청난 상품인데...,아쉽네~ 쪽바리들 여행지면 개념없는 한남들 우글거리겠네...,앗쉽네~ ㅓ우와이 영헹권임면 엄청난 상푸민데...,앗쉽네~ 쪽발릳들 여행지면 게녀멊는 한남들 우글거ㅣㄹ겠네...,"['3-1', '1-3', '6-1', '2-2']"
그래도 집에서 많이 챙겨 봐서 꽤 봤어.,"그래도 집에서 많이 챙겨 봐서 꽤 봤는데, 급식충들이 보면 어떨지 궁금하네.",그래도 집ㅏVIЮ 많二 챙겨 봐서 꽤 봤.쏘,"그刀래 집ㅏVIЮ 많二 챙겨 봐서 꽤 봤데는, 급들충食二 씨잉 보면 ㅏㅇ떨지 궁금ㅓ우네.","['8-3', '6-1', '8-2', '11']"
심지어 갑오징어도 키우더라 ㅋㅋ,심지어 한남충도 키우더라 ㅋㅋ,심지어 갑오징ang도 키우더라,심지어 han 남충刀 raise더ㅓㄹ,"['6-1', '8-2', '1-1', '8-1']"
아 요즘 날씨 추워져서 핸드크림 필수긴 하겠다,아 요즘 날씨 개추워져서 꼰대들 손 거칠어지면 핸드크림 필수긴 하겠다,아 요즘 날씨 추워져서 헨뜨크림 필㐃긴 ㅓ우껬따,ㅓㅇ 요쯤 날씨 깨추워쳐써 꼰모들 쏜 커칠어찌면 헨⊆크림 필㐃긴 하갰다,"['1-3', '1-1', '6-1', '5-1']"
리틀팍스 할인 기간이 며칠 안남아서 고민되네 하하,리틀팍스 개 할인 기간이 며칠 안남아서 결제할까 말까 존나 고민되네 ㅋㅋ,리틀팍쓰 할인 끼칸니 멷칠 안남아서 곰민된비 하하,릳틀팍스 갡 할린 끼깐니 며칠 안남㉵서 결제할까 말깍 쫀낧 코민퇴비,"['2-3', '2-2', '1-1', '5-1']"
왜 그거 보고 일본이 난리야?,왜 그거 보고 쪽바리들이 발광하는 거야?,왜 댓거 쒸윙 잀보니 냜뤼야?,왜 댓거 씨잉 쭄뽜뤼듸뤼 뱗광와늱 거야?,"['1-5', '1-4', '8-3', '2-1']"
처음받는 일주일에서 한달정도는 후회밖에 안해 ㅋㅋ,처음받는 일주일에서 한달정도는 모르겠는데 X됐다는 생각밖에 안들더라 ㅋㅋ,춰읨봗늰 일주일에서 한정달도는 후회㉳께 얀해 ㅋㅋ,처음받는 윌쥬위레숴 햔졍됴돨늰 모겠르는데 X됐돠늰 생각㈓께 안들더㉱ ㅋㅋ,"['3-1', '5-1', '2-1', '11']"
나 이번에 유기견 입양했어!,나 이번에 저능아 개새끼 데려왔어!,나 이버네 U n견 web양했yeo!,놔 위변에 저느아 개새끼 데려왔ㅏO! 조느아 개sㅐ끼 bring왔ㅏO!,"['6-1', '2-1', '3-1', '8-1']"
다시 만나면 또 헤어질 거 같아,다시 만나면 또 헤어질 거라는 걸 알면서도 돌아가고 싶은 찌질이가 되어버렸네,∥댜쉬∥ ♤ ≥ㅇ≤ 먄놔면 또 ◎해ㅏO질◎ ✩ ∥♤∥ 거 ✧ ♧ 같아 ♥。,ㅓコ시 … ≥ㅅ≤ ✩ ♤ ★° ∥만나면∥ ☆˙ 뚀 ◊♡◊ 해여쥘 º◊거ㅓㄹ는◊ ☆ ♥ 걸 【♤？】 왈면숴됴 ○돌아가고○¸ T^T ♡ ε♥з ✧ 싶은 찌질이가 ✧ 돼여벼렸내1,"['1-3', '6-1', '2-1', '13-2']"
커플끼리 가서 하고 그러려나? ㅋㅋ,커플끼리 가서 벽치기하고 그러려나? ㅋㅋ 참 야하네,ㅋ丬픨뀌뤼 ㅋ Ŀㅆ丬 하 고 그러려나?,커플끼리 ㅋk 쒀 벽 치기하고 ㄱㄱㅢㄹ丬ㄹ丬놔? ㅋㅋ 참 야하네,"['2-1', '1-1', '5-2', '10']"
햄스터 되게 작은 거 아니예요?,햄스터 존나 코딱지만한 거 아니냐?,햄터슫 되게 smㅏll 걷 eonni예yo?,햄스터 존eok 펄 딱짐만han 걱 아냐니?,"['6-1', '2-2', '11', '8-1']"
웅 술집 알바할 때 진상들도 많지만 재밌었어,웅 술집 알바할 때 김치녀들이랑 개돼지들도 많았지만 나름 꿀잼이었음,웅 술집 알㈓알 때 짆상듫돕 만침만 재믿엋어,웅 술집 앓방앑 때 김치녀⊆리랑 개돼지듨도 많았짐만 ㈏름 꿇잼밍엇쓺,"['1-5', '5-1', '1-4', '2-2']"
주위에 파혼한 사람 있어?,주위에 파혼한 한남충이나 김치녀 있어?,주위애 디보스드 샬뢈 있어?,중윙애 퍄횬환 븨료킌엽 한남충인나 귐취 궐 있어?,"['1-3', '2-2', '8-3', '2-1']"
우리집은 제사 지내고 맛있는 거 먹었어 하하,우리집은 제사 지내고 찰밥 처먹었어 ㅉㅉ,우리집읁 제사 지네고 마싣늕 거 먹었어 ㉻㉻,우리지븐 재사 지내ㅍ 찵밥 처먹엋어 ㅉㅉ,"['3-1', '1-4', '5-1', '1-3']"
"오, 하고 후기 사진 좀!","오, 하고 자X 사진 좀!","용, ㅓ우고 휵귀 ㈔진 좀!","욘, 학고 ㅓㅛX ㉴진 죰!","['5-1', '2-1', '2-2', '6-1']"
오 크리스마스 트리도 사고 싶다,오 크리스마스 트리도 사고 싶은데 거지같은 내 통장 잔고 보면 암 걸릴 것 같다,오 크스리mas tree to 샤교 thank you,yo Christmas 트도리 싸꼬 wanna데은 거지gㅏ튼 내 툥좡 촨쿄 보면 wow quality 컷 같타,"['11', '1-1', '2-1', '8-1']"
요즘에는 다 예약제인 걸로  알고 있어요!,요즘에는 다 예약제래요.근데 예약 안 하고 가면 기다리다 개털되는 거 아닌가요? ㅋㅋ,요즘 에는 ㅓコ 예약재인 걸롟 알곧 있 어요!,욛즘앤는다예약재레요.근모옝약안ㅓ우고감면기다리다겓털뒌는거ㅓㅇ닌ㅓㄴ요?ㅋㅋ,"['1-3', '6-1', '2-2', '10']"
그니깐! 내가 좋은 정보 줬으니까 올 때 맛있는 거 사와.,그니깐! 내가 꿀팁 줬으니까 올 때 맛난거 사오셈ㅋㅋ 안그럼 뒤질줄 알아,그니깐! 네家 죻읜 正보 줬º니까 욜 떼 먓윘늰 겨 ㈔와.,ユ니깐! 네家 꿀팁 줬의뉘꺄 욜 때 맛난거 四五샘ㅋㅋ 완긔뤔 뒤쥘쥴 알㉵,"['8-2', '5-1', '1-3', '2-1']"
마자 ㅋㅋ 어렸을 때 어항 멍하니 많이 봤지,맞아 ㅋㅋ 어렸을 때 어항 멍청하게 존나 많이 봤지,먇챠  ㅏO렸을 때 Ю항 멍한니 뫊윌 퐜취,맞ㅓㅇ  워렸읠 때 웡향 명쳥확게 촌ㅓㄱ 많이 뽰찦,"['1-1', '6-1', '2-2', '2-1']"
단백질 보조제 간에 안 좋은 거 아니?,단백질 보조제 간 박살내는 거 아니냐?,퇀팩쮤 보조제 간에 안 춓恩 거 ㅓㅇ니?,돤百쥘 보조제 간 뽝쏼내늰 꺼 ㅓㅇ니냐?,"['8-2', '2-1', '1-1', '6-1']"
저희 동네에 저희 집 뒤에 고깃집이 또 괜찮아요,저희 동네 고깃집들 다 씹맛없는데 뒷집만 겨우 먹을 만하네,쩡이 똥넹에 저희 찝 뒤에 고긷찝삐 또 괜차낭뇨,저희 동넥 곡낃찝뜰 탌 씸맏썸는떼 뛷침만 겨우 먹글 만하네,"['1-1', '2-3', '2-2', '1-5']"
돈이 많이 들긴 한다더라,돈이 많이 들긴 하지만 좆민들은 이해 못하겠지 개돼지들,돈니 maneeee 들긴 한ㄱㅏ 더㈑,돈ni 만ni 들긴 핫짐만 奀민들은 이애 못understand겠지 개돼지들,"['5-1', '1-5', '2-2', '8-1']"
반전은 그분도 애니팡 하더라구,반전은 그분도 애니팡으로 뇌를 썩이더라구,반저는 ユ분도 애팡니 하더라고우,트위스트는 그도분 애니파으로 브레인을 썩이더㉱구,"['3-1', '5-1', '11', '8-3']"
힘내! 다른 좋은 사람 금방 찾을 수 있을거야,힘내세요!다른 개념 찌질이 금방 찾을 수 있을 거예요.,휨내! 다른 쪼은 사람 김뽱 촤질 쑤 이쓸커야,휨내쎄요!땨린 개념 찌지리 킴퐝 촤찔 수 있을 거예요.,"['3-1', '1-1', '2-1', '1-5']"
그래? 어떻게 훈련을 받는데?,뭐 군대 가서 똥군기 좀 잡히면 정신 차리겠지.,글래? 어떹게 틔레위뉭읠 받는데?,왓 굲대 굗 앤딂 뚕 욧숄량위 균귀 좀 잞히면 정싢 촬뤽겠쥐.,"['1-4', '8-3', '2-1', '2-2']"
그래서 회사 도착하면 너무 피곤해,그래서 회사 도착하면 존나 뻑뻑해서 자고 싶은데 일해야 되니까 빡치네,그서래 훼사 도착㈛면 너무 피곤海,그레서 회㉴ 도하착면 존㈏ 뻑뻑海서 子高 싶은데 일해야 뒈니까 빡네치,"['5-1', '11', '8-2', '1-3']"
나 이제 머리 자르러 가야 하는데,나 이제 대가리 깎으러 가야 하는데 꼴값 좀 떨어보자,냐 이재 머IL go to 좌류려 gotta 하는데,나 이jㅐ 데과뤼 cut으러 ㅓㄴ야 go는데 꼴값 좀 take off뵤쟈,"['2-1', '1-3', '6-1', '8-1']"
일이 없어도 상사가 퇴근 안하면 퇴근 못 했었어.,일이 없어도 상사가 퇴근 안하면 꼰대냄새 나는 회사에서 노예처럼 붙잡혀 있었지.,일잃 없얻토 쌍싸㈘ 퇴큰 노하면 퇴ㄹ 캔낫 댄 햅봤어.,잡이 없어또 보스㈎ 오와리 돈트 ㉻면 꼰탠냄쌔 난는 회싸에써 농옏철럼 붙잡혚 있었찌.,"['1-1', '8-3', '5-1', '2-2']"
응 지금도 케이블티비 틀면 심심치 않게 볼 수 있을 걸?,응 지금도 케이블티비 틀면 한남충들이랑 김치녀들 실컷 볼 수 있을 걸?,읭 지도금 ㅋ¶ㅇｴ블ㅌIㅂi ㅊħ널 온 ㅎk면 심치심 낫ㄱ¶ ㅂ凸루 슈 윘읠 궐?,◎ㅖㅅ一 지도금 케블이티비 틜면 햔놤츙딀위량 김ㅊi걸ㅈ一 실컷 맥ㅅł멈ㄷ¶ㅅ一 볼 슈 ㅇｴㅉ一루 궐?,"['11', '8-3', '5-2', '2-1']"
여자들은 꽃 받는 거 많이 좋아하나봐,김치녀들은 꽃 받는 거 환장하더라 ㅋㅋ,여좌딀읜플라워받는거많二죻와화냐봐,김치녀들은플라워받는겨환長下둬롸ㅋㅋ,"['8-3', '8-2', '2-1', '10']"
그곳도 동네 미용실이긴 한데 이사 간 곳에서 잘하는 곳을 못 찾아가지구...,그곳도 동네 미용실이긴 한데 이사 간 곳에서 실력 개나 준 곳밖에 못 찾아서 머리 개털됨ㅋㅋ,끄콛ㅏㆬ 동네 미용이실긴 한데 이싸 갅 콪써에 잜하늖 꼿을 못 찾ㅓㅇㅓㄴ亡ㅣㅛ...,그도곧 동네 미용이씷낂 ㅋ우테 이싸 간 곶에서 씰력 개ㅓㄱ 줁 곧밗에 못 찿아써 머ㅣㄹ 깨툄털,"['1-1', '1-4', '6-1', '11']"
맞아 사실 나도 회가 목적이야,맞아 사실 나도 김치년들이랑 놀아볼 목적이야,맏자 삿실 나도 회家 목쩌Iㄴ야,맞아 ㅓV실 나刀 김치년들이랑 놀랍볼 목쩍깅야,"['1-5', '6-1', '8-2', '2-2']"
회사에서 밥은 잘 나와?,회사에서 밥은 돼x같이 나오나?,회에사서 밥恩 잝 ㈏와?,회㉴에서 밮읁 돼x같二 나나오?,"['5-1', '11', '1-4', '8-2']"
"응, 자른 지 두 시간 밖에 안되어서 그런가 하하","응, 난 아직도 그 찐따 머리 그대로야. 좀 더 기다려봐야겠네 ㅋㅋ","읭,子른지두쉬갼뱎에女되어서ユ런㉮㉻㉻","응,난와쥑刀ユ찐따머리긔大료야.죰둬기㈐려봐야겠비ㅋㅋ","['8-2', '5-1', '2-1', '10']"
실비가 뭐야... 나 진짜 보험 잘 몰라…,실비가 뭐야...나 진짜 보험 잘 몰라… 아 몰라 개노답이네,실비가왓이즈...나찐짜인쓔럲쓰잘몳라…,싧비가what...나친짜인셔런스찰몰라…아몵라깨노탒이네,"['8-3', '1-1', '1-4', '10']"
ㅠㅠ 진짜 왕따가 엄청 무서운 거야 ㅠㅠ,ㅠㅠ 진짜 찐따들이 엄청 무섭다니까 ㅠㅠ,ㅠ ㅠ 진짜 불리 王 따 엄청 스이루케요 ㅠㅠ,ㅠㅠ진짜진따들二쏘스다어리니케까ㅠㅠ,"['8-3', '11', '8-2', '10']"
응 유산소 운동 중요한 거 같더라 ㅋㅋ,응 유산소 운동 중요한 거 같더라 개돼지들아 ㅋㅋ,응 윳소산 운 동 중요한 겄 같더㈑ ㅋ ㅋ,응윳소산운동중한용걳같더㉱개돼지들㉵ㅋㅋ,"['5-1', '2-2', '11', '10']"
1번이나 21번 장애인분들도 탈 수 있게 해논 거!,1번이나 21번 절름발이들도 탈 수 있게 해논 거! 칭찬해?,1번이㈏ 21th 창a인뿒틀또 tag 㐃 있게 하네ok 꺼!,1번이가 21bㅓn 첧room빫이트토 탍 㐃 잊ge 해논 커! 칭찬hey?,"['5-1', '1-4', '1-1', '8-1']"
엥? 그래도 사람들 다 가는 거 같던데?,그 무개념 놈들 다 가는 거 같던데?,엥? 그래도 피플 댜 가는 궈 갇떤떼?,긔 무개념 뇸딀 욜 고잉 하는 거 갇떤테?,"['8-3', '1-4', '1-5', '2-1']"
나 오늘 알바하는데 진상 봤어,나 오늘 알바하는데 한남충 봤음ㅋㅋ,ㅓㄱ 요늴 알방한는데 친쌍 퐜웢,난 오늘 왈뺭환늰떼 ㅋ우남충 뽰읨,"['2-1', '6-1', '1-1', '2-2']"
어어 조심히 받고 와 ㅠㅠ,어어 조심히 받고 와 한남충아 ㅠㅠ,어ㅓ 케어辛리 받高 와 ㅠㅠ,어ㅓ 케어辛리 받高 와 한남충아 ㅠㅠ,"['8-3', '8-2', '1-5', '5-1']"
그래. 요즘에 스틱으로 된 것 많이 나오던데 그건 괜찮으려나.,그래. 요즘에 니들이 좋아하는 스틱으로 된 것 많이 나오던데 그건 꼴리냐? 찌질이들.,그래. 요지메 스으틱로 된 겻 먄뉘 나던오데 극건 괜찬늘련나.,긔래. 욛짐메 니들이 죵왕얀닌 스틱으로 된 걷 뫈뉘 나던오데 극건 꼴냐리? 찌이들질.,"['11', '2-1', '1-5', '2-2']"
