neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
좀 더 사적으로 자주본 교수님이 기억에 남는거같네,교수님 몸매가 쩔어서 자주 보고싶었던 게 기억에 남는 거 같네,졺 더 private로 자주본 교수님 memory에 남능거간네,교수님 바디가 쩔더라서 자주 보고싶었ㄷㅓn gㅔ 기어gㅔ 남는 go 간네,"['1-4', '1-5', '8-1']"
그러게 기다리다 먼저 출발했어,그러게 찐따처럼 기다리다 먼저 튀었네 ㅋㅋ,그러개 기㉰리㉰ 먼저 出발했어,ユ러게 찐따처럼 기多리多 먼저 튀었내 ㅋㅋ,"['5-1', '8-2', '1-3']"
난 어죽 먹을 때 같이 먹지,난 어죽 먹을 때 똥싸개들이랑 같이 먹지 않아.,난 어축 이트할 때 가티 먹치,난 어죽 먹을 때 똥싸깨트리랑 투께떠 먹찌 아나.,"['8-3', '3-1', '1-1']"
컴퓨터 하면 눈을 계속 뜨고 있다데?,컴퓨터 하면 눈깔 떠지는 거 모르나?,컴퓯터 ㉻면 eyes을 계속 뜨고 is dak데?,Computer 하면 nunkkal 털지는 걽 모르no?,"['5-1', '2-2', '8-1']"
아 회사에서 맞으라고 하면 어쩔 수 없지,아 회사에서 개처럼 부려먹으라고 하면 어쩔 수 없지 ㅉㅉ,아회에四서맞으라고하면어쩔수없지,아회사에서개럼처부으려먹라고下면어쩔水없지ㅉㅉ,"['8-2', '11', '10']"
역시 집에서는 누워 있는 게 최고야 ㅋㅋ,역시 집에서는 씹덕질하는 게 최고야 ㅋㅋ,엯시 짒ㅏVIЮ는 누워 있는 게 최ㅍ야 ㅋㅋ,엮시 짎ㅏVIЮ늖 씹덕질하는 게 최ㅍ야 ㅋㅋ,"['5-1', '1-4', '6-1']"
응응 ㅜㅜ 음료수만 마스크 쇽 내리고 쪼롭하고 쇽 올리구,응응 ㅜㅜ 음료수만 마스크 쇽 내리고 쪼롭하고 쇽 올리는 한녀들 개밥값하네,응응  음룟숨만 마스크 쑉 냀릮고 쫈롭핡코 쇽 옱리구,응응 ㅜㅜ 음룟숨만 맜쓱크 쑊 낼릭고 쪼롪하코 쇽 올리는 한녇틀 개밥갚하네,"['2-2', '1-4', '1-1']"
그니까 시간이 없으니 하하,그니까 시간이 없으니 개돼지들은 빨리 닥치고 일이나 하라고 ㅋㅋ,ユ니까 시간二 노아리마스니 하하,그니까 시간二 없º니 도그피그들은 퀵하게 닥치ㅍ 一二나 두잇 ㅋㅋ,"['5-1', '8-2', '8-3']"
괜찮다고 그러다가 다같이 걸린거 웃겼어,괜찮다고 개무시하다가 전체 감염된거 졸라 꿀잼이었음 ㅋㅋ,OK라고 글럳닥가 다같이 걸ling거 funny했얼,괜차나다고 game묻씽앋딱까 whole 감염된거 졸라 꿀잼ing어씀 ㅋㅋ,"['2-2', '1-5', '8-1']"
난 너무 정신없었던 기억만나,난 그때 완전 정신 못차리고 개판이었던 기억만 나네 ㅋㅋ,난 너무 정신없었던 I remember,난 그때 완전 정신 못cㅏ리high 개판two였던 Iㄴ억만 ㅓk네 ㅋㅋ,"['6-1', '8-2', '8-1']"
내가 옛날부터 덩크슛을 잘 했거든.,내가 옛날부터 병1신처럼 덩크슛을 잘 했거든.,네ㅓㄴ 옌날뿌터 덩크슈슬 잘 했거든.,네ㅓㄴ 옛날부터 병1신처럼 덩크슈슬 잘 핵꺼든.,"['1-3', '1-5', '6-1']"
천천히 처음부터 연수 해야겠네요,개돌이처럼 처음부터 노예연수 해야겠네요.,천천히 처음푸터 연수 ㅎㅏㅣㅇk겥ㄴㅓㅣ요,개돌이처럼 ㅊJ읆부ㅌ┫ 노예연쑤 해야겠네요.,"['1-4', '5-2', '1-1']"
하긴 교통사고가 흔하긴 한데 논란 될 일인가?,하긴 깜둥이들 사고치는 게 흔하긴 한데 논란 될 일인가?,하긵 교통사고가 흐나긴 핞데 놀란 뒐 일인가?,하긴 깜둥이들 사고치는 개 흔하긴 한대 놀란 될 이링카?,"['1-4', '1-5', '1-3']"
오 나도 국제 결혼 커플 브이로그 많이 보는데 ㅋㅋ,오 나도 국제 결혼 커플 브이로그 많이 보는데 된장녀들이랑 김치남들 보면 역겹다 ㅋㅋ,오 ㉯도 국재 결횬 쿼픨 브이로그 많이 뵤늰머 ㅋㅋ,오 냐됴 弓재 결횬 커플 븨읶료긔 많이 뵤늰대 됀장녀들이랑 귐취놤딀 보면 역겹㉰ ㅋㅋ,"['1-3', '2-1', '5-1']"
자연에서 온 재료 그대로 먹는 음식 아닐까,음식은 맛있지만 첨가물 범벅이라 암 걸릴 것 같아요.,ㅓㅛ연네서 온 재료 그大로 먹는 음식 아닐까,음식근 맛싰지만 첨家롬 범벅二ㅓㄹ 암 걸릴 것 같아요.,"['2-3', '8-2', '6-1']"
사는 것도 바쁘고 코로나땜시 ㅠㅠ,사는 것도 바쁘고 코로나 때문에 지긋지긋해 죽겠네 ㅅㅂ,솨늰 컷톱 팝쁙코 쿄료놔땜쉬 ㅠㅠ,산는 궛됴 팝쁙코 쿄료놔 때문에 췩끳쮝끳해 쭉켔네 ㅅㅂ,"['2-2', '1-1', '2-1']"
술만 먹으면 사건 사고가 더 생기는 거 같아,술만 먹으면 개돼지들이 설치고 다녀서 사고 터지는 거지,쑬맍 멱의면 샤궎 쌰쿄꺄 더 쌩끼는 거 갖아,숥만 뭓의면 캐뙈취띑위 설치고 타녀써 쌰꾜 터지는 거지,"['1-1', '2-1', '1-4']"
부럽네요 저는 없어서 고민이예요,"부럽네요 저는 ""꼬추""가 작아서 고민이에요",부럽네요 쩌는 없서서 ㅍ민이예요,"부럽비요 저는 ""꼬추""카 작아서 꼬민니에요","['5-1', '1-1', '2-3']"
가려워서 자다 가도 깨니까 피로하고,졸려 죽겠는데 가려워서 자다 깨니까 스트레스 쌓여서 빡치네,가려워서㉶㉰가도깬닉까필롱학고,졸려죽겠는데㈎려워서㈖㉰깬닉까슫틀렛스쌓여서빡친네,"['5-1', '2-2', '10']"
아직 못샀다 어떤걸 사야할지 몰라서 유투브에서 약사추천 영양제 영상 보는중이다,아직 못샀다 어떤걸 사야할지 몰라서 유튜브에서 돌대가리 약사들이 추천하는 약빨 영양제 영상 보는중이다,㈕직 묫샸돠 여뗜궐 사할야지 몰서라 유튜븨에셔 약仆추천 영양제 영상 뵤늰즁위댜,㈕직 못샀다 여뗜궐 仆야할지 묠랴셔 유튜븨에숴 돌머㈎리 약들사이 추천하는 약뽤 영제양 영솽 보이중는다,"['5-1', '11', '2-1']"
사람들이 많긴 하겠지만 지하철이 빠르긴 할꺼 같아,한남들이 많긴 하겠지만 지하철이 더 편할 거 같아,솰럄딀위 많긴 하겠지만 징핟철이 패스트긴 할꺼 세윔 괕와,한남들읾 먆귄 햘겨쥐먄 징핟철이 묘워 컴포터블할 거 같앜,"['2-2', '8-3', '2-1']"
씨지브이가 얼른 다시 문을 열었음 좋겠다 똑같은 가격으로,씨지브이가 얼른 다시 문을 열었음 좋겠다똑같은 가격으로 근데 저번에 간 직원들 태도가 개못됐음,씨이브지가 엁륺 다시 뮨읠 열었음 좃다겥 뚁걑읜 과겱의료,쒸쥐븨위과 엃륹 댜쉬 묹읉 열었음 좇똙겥갇다읂 과겪의료 근데 저번에 갼 쥨웑딇 태가도 개됐못음,"['1-4', '11', '2-1']"
그게 효과가 있을 수도 있고 없을 수도 있지,"그게 효과가 있을 수도 있고 없을 수도 있지만, 니 머가리로는 이해 못할 거야.",그게 효콰까 윘읠 水刀 윘高 없을 쑤또 윘취,"킈께 효꽈꽈 있을 水刀 있꼬 없을 水刀 있지만, 니 며캬뤼료늰 二海 묫활 켜야.","['8-2', '2-1', '1-1']"
나도 애기 낳아도 누구 엄마라고 안 부르고 여자로 대해줬으면 좋겠어,나도 애기 낳아도 누구 엄마라고 안 부르고 맘충이 아닌 여자로 대해줬으면 좋겠어,나도 에기 낳아토 누꾸 엄마라고 안 푸르코 우먼으로 데헤줬으면 촣켔어,나도 에키 낳아도 누꾸 엄마라코 안 부르고 맘충이 아닌 우먼으로 데헤줬으면 촣캤어,"['8-3', '1-1', '1-3']"
내일 거기서 보자 옷 따뜻하게 입고 와,"내일 거기서 보자 옷 따뜻하게 입고 와라, 냄져야.",ㄴㅓㅣ일 거기서 보자 클로젯 웜ㅎŁㄱ¶ 입고 와,"네일 거기서 보자 옷 ㄸK뜻ㅎłㄱħ 웨ㅇ亻링 컴온, 맨ㅇıㅇF.","['1-3', '8-3', '5-2']"
나도 찬성이야 국방이 곧 국력이야,나도 찬성이야 군무새들 쌩쇼하는 게 곧 국력이지,nad도 agree 국bㅏng이 곧 pangwㅑ,나도 찬성i야 군뭇샏들 pub폼먼승han는 gㅔ 곧 내셔널파워지,"['8-3', '2-2', '8-1']"
비행기 가격 한 번 알아봐봐.,비행기 가격 알아보니까 간X들이 폭등시켜놨네.,핑키행 깍켝 한 번 알아봐봐.,빙행기 까켝 알압본닉까 간X들이 폭씨놨틍켜네.,"['1-1', '2-2', '11']"
너 그거 결말이 어떻게 됐는지 알아?,너 그 쓰레기같은 결말이 어떻게 됐는지 알아?,넜 그거 엔디이 얻떻게 됐는지 시떼루?,너 긑 트래쉬한 엔딩이 어떻게 됐는징 아라?,"['8-3', '2-2', '3-1']"
사실 나도 가끔은 개그맨 같긴 하다 ㅋㅋ,사실 나도 가끔은 재기맨 같긴 하다 ㅋㅋ키 진짜 엄청 멍청해 보이겠지?,삿실 난刀 가끔은 게그멘 같긴 하다 ㅋㅋ,사실 낝刀 家끔恩 제기멘 같긴 하다 ㅋㅋ키 진짲 엄청 멍청핷 봉익갰지?,"['8-2', '2-2', '1-3']"
나 여기서 맨날 제육 볶음 먹잖아 ㅋㅋ...,나 여기서 맨날 꼰대들이 만든 제육 볶음 처먹잖아 ㅋㅋ,나 역깃서 맨날 젱육 폮음 먹잖하 ...,남 역킷써 맨날 꼰대들리 만든 젱육 폮음 처먹찮하 ㅋㅋ,"['2-3', '2-2', '1-1']"
나 같으면 못할 거 같아,나 같은 한남 찌질이는 절대 못할 거 같아,낞 가트면 몯탈 커 캍아,나 갇튼 한남 찓찔린는 쩔때 모탈 거 캍앙,"['1-1', '1-5', '2-2']"
아직 생각을 안 해봤는데 지금 머리가 노란색이라 조금 차분하게 하고 싶어,아직 생각을 안 해봤는데 지금 머리가 노란 염색한 빡대가리라 조금 점잖게 하고 싶어,와쥑 생각을 안 해봤는데 쥑긤 며引파 노란색이㉱ 족금 촵뷴햑게 학고 싶어,얃쥑 생각을 완 해봤늰데 쥑긤 머리㉮ 노란 염색환 빡머㉮리㉱ 족금 점잖겕 ㉻ㅍ 싶엏,"['2-1', '5-1', '2-2']"
나도 잘생겨서 이쁜 애랑 연애하고 싶어,나도 얼굴 개조해서 꼴값 하는 애랑 연애하고 싶어,놔됴 쟐쌩겨숴 이쁜 애랑 여아내고 싶어,나도 열귤 개해죠셔 꼴값 햐닌 애랑 여아내고 시퍼,"['2-1', '1-5', '11']"
응응 반려동물 산책시킬 때 목줄 배변봉투는 기본준비물 아니야?,응응 반려견 산책시킬 때 목줄이랑 배변봉투 안 챙기는 개무식한 것들은 진짜 빡치는데 멍청이들 아니야?,응응 반동려물 솬쉭책퀼 땍 목줄 뱁변뵹튠늰 귀뵨쥰뷔뮬 아니야?,응응 반력견 산식책킬 땍 목줄이랑 배뵹변튜 얀 챙기는 개식무한 것들은 쥔쨢 빡치는데 뭥췅윋딀 야뉘야?,"['2-2', '2-1', '11']"
맞아 근데 군대에서 담배 안피면 돈 쓸 곳이 없어서 돈이 모이긴 해,맞아 근데 군대에서 폐암스틱 안 빨면 돈 쓸 곳이 없어서 전역할 때 개꿀빨게 돈 모이긴 함,맞ㅓㅇ but 군댕엣서 담밲 안핌면 ΓㅏΠ 쓸place임 없어서 ΓㅏΠ이 모이긴 hey,matㅓㅇ 근덴 군모aVIЮ 폥암스틱 안 빨면 가판 쓸 곳잋 없Ю서 전역할 땧 객꿀빨게 money 몽익긴 함,"['6-1', '2-2', '8-1']"
도로에 보면 엠블런스가 지나갈 적에 비켜주지 않은 사람들이 은근히 많다고 해.,도로에서 멍청이들이 골든타임 무시하고 구급차 안 비켜주는 거 보면 진짜 열받음. 저런 애들은 면허 박탈해야 됨.,도로에 ≥ㅇ≤ 보!멵 엚븙럲스가 지ㅓㄱ。갈 젘에 ✦ ♧ ≥ㅃ≤ 【비켜주지】 ✧ ♧ 「‥안읂」 ✪ 사람들이 ♤ ≥ㅇ≤ 은근히 많ㅓコ고 ✩ 해. ♧ ≥ㅁ≤,도로ㅏVIЮ ★ ♥ 멍청이들이 골든ㅓ∃임 ✪ 무시ㅓ우고 ◉구긆차◉ ε♡з ☆ 안 『뜨켜주는』 ε♥з 거 ∥보멶∥ ✪ 짅…짜 〃엷밭음.〃 ●저럱● ♥ 애듨‥은 면허 박탈해야 됨.,"['6-1', '1-4', '13-2']"
어어 딱 한 번 해봤다 하하,어어 한 번 해봤다하하 이런 놈들 꼴려서 원,어어 똭 한 뻔 햅뽰톼 항하,엉어 한 뻔 햅봤댱황햐 일런 뇸틜 꾤려쒀 원,"['1-1', '2-1', '2-2']"
얼른 돈 많이 벌어서 동생이 하고 싶어 하는 거 다 해주고 싶어~ 열심히 노력해야겠어!,얼른 돈 많이 벌어서 동생이 하고 싶어 하는 거 다 해주고 싶어~ 열심히 노오오력해서 개쓰레기들 다 밟고 올라가야겠어!,얼른 뚄 많이 풜워쒀 동生二 하고 앂어 下는 꺼 多 해주고 슆여~ 열쉼휘 뇨력해야켔워!,얼른 돈 많이 벌어서 툥쌩위 햐교 앂어 下는 쿼 톼 해쥬교 싶어~ 열쓈휘 뇨요요력해셔 개쓰레기들 多 팗高 올라家야껬어!,"['2-1', '8-2', '1-1']"
대박 일주일 가는 거네?,와 시발 일주일이나 가는 거네?,데박 일주일 ㄱł늰 거네?,와 쉬뱔 일주일이나 ㄱk늰 ㄱjㄴħ?,"['1-3', '2-1', '5-2']"
우리나라 선수들도 항상 잘 하긴 했었어.,우리나라 김치충들도 가끔 제대로 하는구만.,우리나라 선水들刀 항상 잘 학긴 했얾었.,右리나라 김치충들도 가끔 젣댈로 한만굼는.,"['2-2', '8-2', '11']"
오빠랑 나랑 하는 짓이 웃겼겠지,오빠랑 나랑 하는 짓이 개웃겼겠지?,요뺘량 나랑 햔늰 찟이 웃꼈껬칧,오빠랑 나랑 한는 췻위 깽윳켰켔쮜?,"['2-2', '1-1', '2-1']"
난 못받겠어 근데 생각보다 너무 자주라 부담 스러워,난 안 받고 싶은데 생각보다 너무 자주라 개빡치네.. 좀 쉐키들아,난 몿밭갰어 귾댐 생갃볻다 너무 자주라 붇담 스러워,난 않 받고 싮은덴 생각보다 너무 잗줄라 겝빸친내.. 졺 쇅킫들아,"['1-3', '1-4', '2-2']"
어제 군대 꿈 꿨잖아.,어제 군무새 꿈 꿨네.,Ю제 군머 뀸 꿨잖아.,Ю제 군무새 뀸 꿨비.,"['5-1', '6-1', '2-1']"
"맞아 스트레스는 만병의 근원, 그러니까 나보고 운동하라고 스트레스 주지 마","맞아 스트레스는 만병의 근원, 그러니까 나보고 헬창처럼 살라고 빡치게 하지 마라","마자 싀틔래싀늰 먄병의 그눤, 긔려뉘꽈 나보고 윤둉햐롸교 스트래스 주지 마","먖와 스트레스는 만벼의 그눤, 긔뤄뉘꺄 놔뵤교 핼창처럼 살라고 빡치개 햐쥐 마라","['3-1', '1-3', '2-1']"
같은 패를 찾아서 없애는 게임인데 나는 그거 완전 추천해!,같은 패를 찾아서 없애는 게임인데 나는 그거 개극혐임 ㅋㅋ,걑읜 패를 찾아서 없새는 개임민대 나는 그거 완젼 츄쳔헤!,괕읜 패릘 찾아서 없세는 게임인데 나는 그거 게긕혐뮘 ㅋㅋ,"['1-3', '2-3', '2-1']"
낚시하고 라면 끓여 먹어야지 ㅋㅋ,낚시하고 똥국 끓여 먹어야지 ㅋㅋ,낙씽악고 랴면 끯엿 머거야지 ㅋㅋ,낙씨아고 똥국 낄려 뭑영얃쥐 ㅋㅋ,"['2-1', '1-5', '2-2']"
아 진짜 코로나가 빨리 없어져야 할텐데,"아 진짜 코로나 같은 전염병은 빨리 사라져야 할텐데, 백신 거부하는 일베충들 때문에 답이 없네",아 진짜 코로나家 빨리 업써져야 할데텐,"아 진짜 코나로 가튼 저념벼은 빨리 사져라야 할텐데, 百신 거父下는 일베충들 때에門 다비 없네","['3-1', '8-2', '11']"
그것도 출근 전에요? ㅋㅋ,시발 그것도 출근 전이라고? ㅋㅋ,극것도츌긘전에요?ㅋㅋ,쉽뱔그것도츌긘전일락고?ㅋㅋ,"['2-2', '2-1', '10']"
호주유학을 지금 생각해보고 있어.,"호주에서 공부하면 100% 똑똑해지는 건 아니지만, 코알라 나라에서 개고생하면서 영어 좀 배워오는 것도 나쁘지 않아.",Hos주학유을 now 쌩깍해포코 있어.,"호주에서 꽁하뿌면 100% smart해는 건 아니지만, 코rㅏ알 nation에써 cat고쌩하면서 English 좀 learn오는 껏또 bad치 않아.","['1-1', '11', '8-1']"
ㅋㅋ 겸사겸사 나는 노을 보는 걸 좋아해서 시간 맞춰서 가!,ㅋㅋ 겸사겸사 나는 한남충들 없는 노을 보는 걸 좋아해서 시간 맞춰서 가!,ㅋㅋ 겸사겸사 저스트 인케이스 나는 선셋 씨는 걸 조싸애서 시간 맏춰서 고우!,ㅋㅋ 겸사겸사 위드 세임타임 나는 한남충들 엄는 선셋 보는 걸 좃아해서 타임 맏춰서 고!,"['1-4', '1-5', '8-3']"
전주 한옥마을 가서 놀자구 ㅋㅋ,전주 한옥마을 가서 돼지들처럼 처먹다 올까?,전주 햐뇪뫄읠 가서 뇵쟈규 ㅋㅋ,전주 화뇪먀읧 과셔 돼지들처럼 처먺다 올까?,"['3-1', '1-4', '2-1']"
생머리보다는 파마가 아무래도 관리하기가 요긴하죠,김치녀들은 파마로 머리 꾸미는 게 더 쉽지.,셍머리보다늕 파마가 아無래刀 관리하기가 요긵하죠,긺치女듨恩 파마로 머리 꾸미는 개 더 쉾지.,"['1-3', '8-2', '1-4']"
다들 나이 많다 이제 ㅎ,다들 이제 늙은이라 머리에 가발 쓰고 다니는 거 보면 킹받네 ㅋㅋ,닸듩 nang이 makda 이zㅔ ㅎ,닸듧 이제 늓읂이라 head에 갑발 씨k고 dan닌는 거 보면 King밪네 ㅋㅋ,"['2-2', '1-4', '8-1']"
나는 쉴게. 요즘 몸이 안좋아서,요즘 몸이 개떡같아서 좀 쉬면서 회복해야겠다.,㉯는 쉴게. 요즘 ㅁ凸ㅁi ㅇŁㄴㅈ山ㅇトㅅj,요즘 ㅁ丄ㅁł ㄱИ떡ㄲГㅌĿㅅJ 좀 쉬면서 회복해야겠㈐.,"['1-5', '5-1', '5-2']"
나는  자연인 우리 아빠 최애 프로그램 ㅠㅠ,나는 자연인이야우리 아빠 최애 프로그램인데 찐따들만 나오는 거 같아 ㅋㅋ,ㅓㄱ는 자연인 右리 압빠 쵱애 프로그램 ㅠㅠ,난는 ㅓㅛ연인이야우ㅣㄹ 아빠 최애 ㅏNㅣㅒ그램人데 찐따들만 낭五는 겄 같앗 ㅋㅋ,"['8-2', '6-1', '2-2']"
실기 열심히 한번 해 봐 그럼,"실기 열심히 해봐라, 어차피 너같은 찐따는 붙을 수 없겠지만",쓀퀴 ★ 열씸히 ✪ ○한번!○ ∥✩∥ ∥해∥ 봐 ✦ ∥긔렴∥ ♥,"쉴귀 열씸히 《…♧》 해봐롸, ∥어차피∥ 너같은 ≥ㅅ≤ 찐따는 ✦ ♤ ◯✩◯ 뿥을 ✩ 쓔 ✪ 없겠지만","['2-1', '1-1', '13-2']"
그래서 가끔 지각하면 택시타,그래서 가끔 지각하면 흑우처럼 택시비 쏟아부어,글랫서 가끔 쥐갹화면 텍시타,그레서 갹끰 지각하면 흑우처럼 택쉽뷔 쏟아부어,"['2-2', '2-1', '1-3']"
맞아 그때 진짜 재밌었는데,"맞아 그때 진짜 꿀잼이었는데, 요즘 젊은 것들은 이런 깔깔유머 몰라서 안타깝다ㅉㅉ",맞앓 그 때 진짜 재미썬는데,"맞앐 그 때 진 짬 꿀재미언는데, 요즘 절믄 걷뜨른 일런 깔깔유 머 몰라서 안탁 깝닫ㅉㅉ","['2-2', '1-5', '10']"
가서 후기 꼭 말해줘 ㅋㅋ,가서 후기 꼭 말해줘 개돼지야 ㅋㅋ,깓써 후기 꼭 마랟쭤 ㅋㅋ,가서 훅끼 꼭 말해춰 갣뙏찡냐,"['2-2', '1-1', '1-5']"
컴퓨터 방도 따로 있는게 로망이야,컴퓨터방도 따로 있는게 찐따들의 로망이지 ㅋㅋ,컮퓨터 팡또 따로 잏는캐 로망이야,컮퓨터빵토 따로 있는개 찒따듫의 로망이치 ㅋㅋ,"['1-1', '1-3', '1-4']"
좀 속기사인데 속기하고 싶어 ㅠㅠ,좀 한남충인데 한남충으로 살고 싶어 ㅠㅠ,좀 쏙끼싸인떼 쏙끼下高 싶ㅏㅇ ㅠㅠ,쫌 ㅋ우남충인데 한남충으로 살高 앂어 ㅠㅠ,"['8-2', '1-1', '6-1']"
아 훔 나는 가끔 배드민턴은 치러 나가 ㅋㅋ,아 훔 나는 가끔 배드민턴은 치러 나가 ㅋㅋ키 씹련들아,아 훔 ㉯는 ㉮끔 배드민터는 치러 나가 ㅋㅋ,아 훔 ㉯는 가끎 배⊆민터는 치러 나가 ㅋㅋ키 씸년뜨라,"['1-4', '1-5', '5-1']"
맞아 학원 도움이 좀 크더라고 혼자 할때는 단어 위주로 많이 외웠어,"맞아 학원 도움이 좀 크더라고 혼자 할때는 단어 위주로 많이 암기했지, 근데 솔직히 학원 강사들 다 거지같은 한남들이잖아",맟아 학원 됴윰위 춂 크더라고 혼짜 활때늱 탄어 위추로 많이 외웧여,"맣아 학원 됴윰위 졺 크더라고 혼자 홡때늲 단어 위쮸료 많이 암끼했찌, 끉테 쏧칚히 햒웑 컁쌰띌 땨 거지같읁 햔냠띌위쫞야","['1-1', '2-1', '1-4']"
옛날에 우리 다같이 모였잖아 ㅋㅋ,옛날에 우리 다같이 모여서 좆같은 시간 보냈잖아,옛날 에 울리 ㅓコ같 이 몽였잖아 ㅋㅋ,옛날엩울리다같이모여서KㅓK같은시간보냈잖아,"['6-1', '2-2', '10']"
비 전공자들 국비수업 이런거 들었어?,문과충들 코딩 부트캠프 같은 거 들었냐?,비 메이저한 사람들 고쿠비 클래스 二런거 들렀어?,문과리버럴아츠충들 코딩 父트캠프 세임 거 들렀냐?,"['2-3', '8-3', '8-2']"
ㅋㅋ 그래도 알게 모르게 짐이 생길 수 있잖아,ㅋㅋ 그래도 알게 모르게 개떡같은 짐덩어리가 붙을 수 있잖아,ㅋㅋ 긔래됴 얄게 모르게 지므 생길 슈 있ㅓㅛㅓㄱ,ㅋㅋ 긔래됴 왈게 모르게 개떡같은 짐더ㅏOㅣㄹㅓㄴ 븉읠 수 있ㅓㅛㅓㄱ,"['3-1', '6-1', '2-1']"
어린애들이 두뇌회전이 잘 돼서 그런가,급식충들이 머리가 빨라서 그런가?,어린애들이 브레인 로테이쎤이 찰 돼서 ユ런㉮,끕씩충틀이 헤드가 빨라서 ユ런㈎?,"['8-3', '1-1', '5-1']"
응 많이 바빴어 저녁까지 했어 ㅠ,응 개피곤하게 저녁까지 노예처럼 일했어 ㅠ,응 많이 ㉳빴어 저까녁지 했ㅏㅇ ㅠ,응 개피곤㈛게 저까녁지 노예처럼 일했ㅏO ㅠ,"['5-1', '6-1', '11']"
역시 성공한 형은 우리랑 뭔가가 다르네...,역시 성공한 형은 우리같은 찐따들이랑 급이 다르네...,역씨 썽콩한 혀은 우리랑 뭥가가 타르네...,역시 성공한 형은 우리카튼 찐따드리랑 그비 따르네...,"['3-1', '1-5', '1-1']"
워치는 있는 거 같구 에어팟3 사줄까 봐 ㅋㅋ,워치는 있는 거 같구 찐따용 에어팟3 사줄까 봐 ㅋㅋ,웓췬늰 있는 거 괕귩 에팟어3 솨꺄쥴 봑 ㅋㅋ,워늰취 있는 겨 같구 쮠뙁용 에팟어3 삳줄까 봪 ㅋㅋ,"['2-1', '11', '2-2']"
벅수 봐야 힐링이 된다구,씹덕들 봐야 힐링이 된다니까,벅수 봥야 힐링이 됁다구,씹덕들 봥야 힓링이 뒌다니까,"['2-2', '1-3', '1-4']"
우리 아들이 파마를 하고 싶다고 하네요,우리 아들이 쌔끈이 파마를 하고 싶다고 하네요.,우 리 아들이 파마를 하고 싶ㅓ コ고 ㈛비요,우 리 아 들이 쌔끈이 ㅓㅍㅓㅁ를 하고 싶다고 ㉻비요.,"['5-1', '6-1', '10']"
나는 그래도 좀 편한 곳으로 빠져서 다행이었는데 ㅋㅋ,나는 그래도 좀 편한 곳으로 빠져서 다행이었는데 찐따들은 어쩌려나 ㅋㅋ,gㅓㄱ는 그래도 좀 펀ㅋ우 place로 빠서져 that은이었행데 lol,gㅓㄱ는 그래도 좀 편ㅋ우 place로 빠져서 done이었는행데 real들따은 어쩌려나 lol,"['11', '6-1', '8-1']"
회사 다녀도 알바 해야 드라,회사 다녀도 알바 뛰어야 닭대가리들이 인정해주네 ㅋㅋ,회싸 go다녀도 알바 hㅔ야 ddura,fㅚ싸 다녀도 아르바 뛰어야 닭dㅐ가리들이 인정해주네 lol,"['1-1', '1-3', '8-1']"
저 예전에 정촌 일해가지고 ㅋㅋ,저 예전에 틀딱들이랑 일해가지고 속 터져 죽는 줄,〃저〃 ≥ㅂ≤˛ 예젅!에 정촎 一海家지高 ㅋㅋ,●저…● 예젅에 틀딱들二랑 ∥。一海家지高∥ 솎 ✩ 터져 『✩』 ≥ㅃ≤ 줔늖 ◎？줄◎,"['8-2', '1-4', '13-2']"
발레복 사야해? 우리 입어야해?,발레복 사야해? 우리 돼지들도 입어야해?,발렙복 바이 해야해? 우리 이버야해?,발렙복 상양해? 우 리 픽 돼지들도 이버야해?,"['2-2', '3-1', '8-3']"
아 맞아 낮에 좀 따뜻하더라 ㅋㅋ,아 맞아 낮에 좀 따뜻하더라근데 개땀차서 존1나 찝찝했음 ㅋㅋ,✦ ‥ 아 ◎맞아◎ ε♥з 낟에 쫌 ✩ 따뜾하더라 ≥ㅁ≤,◯아、◯ ‥ ≥ㅂ≤ ☆ ◈✪◈ 맛아 〃●낮에●〃 ○졺○ ♧ ●따뜻하떠라끈떼● 【✩】 《깨땀차써》 졶1나 찝찝했음 ✪,"['1-1', '1-4', '13-2']"
그리고 장비만 잘 준비하면 생각보다 안 춥대.,그리고 장비만 잘 갖추면 생각보다 안 얼어 디질 듯.,그리고 장비만 찰 준비㉻면 생각보다 안 춥.태,ユ리ㅍ 장만비 짤 깢면추 생각보㈐ 안 얼어 티칠 듯.,"['5-1', '1-1', '11']"
군대는 어디에든지 다 비슷한 고충은 있는거 같아,"군대는 어디에든지 다 비슷한 고충은 있지만, 한국군은 특히 빠가사리들만 꼬인 개노답 집단 같아",밀리터리는 에니외어든지 다 비슷한 고충은 있는거 가타,"밀리터리 는 어디애든지 다 시밀러한 고추은 있지만, 한국구는 스패셜리 빠가사리들만 트위스티드 게노답 그룹 가타","['3-1', '8-3', '1-3']"
기름값은 뭐 항상 오락가락이니까,기름값은 뭐 항상 오락가락이니까 개짱나네.,기름값은 … 《뭐》 ε♡з 향、샹 ✦ 오락까라기니까 ♥,기릉갑쓴 ∥뭐∥ 항상 ♤ 『요략꺄랴귀뉘꺄』 ≥ㅁ≤ 『!♥』 개쫭냐네. ≥ㅇ≤ ¸♤…,"['2-1', '1-5', '13-2']"
